element;xmin;ymin;xmax;ymax;ausrichtung;point_xmi_ymi;point_xma_ymi;point_xmi_yma;point_xma_yma
[['109.274200', '10.977500', '117.586701', '31.482500', '4']];109.2742;10.9775;117.586701;31.4825;1;[109.2742, 10.9775];[117.586701, 10.9775];[109.2742, 31.4825];[117.586701, 31.4825]
[['236.834200', '10.977500', '245.146701', '31.482500', '3']];236.8342;10.9775;245.146701;31.4825;1;[236.8342, 10.9775];[245.146701, 10.9775];[236.8342, 31.4825];[245.146701, 31.4825]
[['378.569200', '10.977500', '386.881701', '31.482500', '2']];378.5692;10.9775;386.881701;31.4825;1;[378.5692, 10.9775];[386.881701, 10.9775];[378.5692, 31.4825];[386.881701, 31.4825]
[['506.129200', '10.977500', '514.441701', '31.482500', '1']];506.1292;10.9775;514.441701;31.4825;1;[506.1292, 10.9775];[514.441701, 10.9775];[506.1292, 31.4825];[514.441701, 31.4825]
[['199.794300', '42.319500', '249.819301', '54.622500', '4xØ5.8-5.85']];199.7943;42.3195;249.819301;54.6225;0;[199.7943, 42.3195];[249.819301, 42.3195];[199.7943, 54.6225];[249.819301, 54.6225]
[['239.222400', '56.300102', '264.879794', '74.383188', '0.14'], ['267.307000', '57.969540', '276.879304', '72.208212', 'M'], ['289.190900', '56.300102', '299.938883', '74.383188', 'C'], ['305.064860', '56.300102', '312.161291', '74.383188', 'E'], ['315.239900', '57.969540', '324.812204', '72.208212', 'M']];239.2224;56.300102;324.812204;74.383188;0;[239.2224, 56.300102];[324.812204, 56.300102];[239.2224, 74.383188];[324.812204, 74.383188]
[['46.004200', '72.717500', '53.275039', '93.222500', 'F']];46.0042;72.7175;53.275039;93.2225;1;[46.0042, 72.7175];[53.275039, 72.7175];[46.0042, 93.2225];[53.275039, 93.2225]
[['243.413000', '78.614700', '257.189000', '111.422700', 'B']];243.413;78.6147;257.189;111.4227;1;[243.413, 78.6147];[257.189, 78.6147];[243.413, 111.4227];[257.189, 111.4227]
[['120.447900', '115.807202', '138.774610', '133.890288', '0.1'], ['144.338210', '115.807202', '151.930692', '133.890288', 'B'], ['155.058500', '117.476640', '164.630804', '131.715312', 'M']];120.4479;115.807202;164.630804;133.890288;0;[120.4479, 115.807202];[164.630804, 115.807202];[120.4479, 133.890288];[164.630804, 133.890288]
[['63.840300', '172.612500', '89.097843', '184.915500', 'Ø11.0']];63.8403;172.6125;89.097843;184.9155;0;[63.8403, 172.6125];[89.097843, 172.6125];[63.8403, 184.9155];[89.097843, 184.9155]
[['45.614200', '198.057500', '53.655872', '218.562500', 'E']];45.6142;198.0575;53.655872;218.5625;1;[45.6142, 198.0575];[53.655872, 198.0575];[45.6142, 218.5625];[53.655872, 218.5625]
[['91.587300', '165.133500', '109.499795', '177.436500', '+0.2'], ['98.049300', '178.111500', '103.036806', '190.414500', '0']];91.5873;165.1335;109.499795;190.4145;1;[91.5873, 165.1335];[109.499795, 165.1335];[91.5873, 190.4145];[109.499795, 190.4145]
[['103.568000', '189.304102', '129.225394', '207.387188', '0.15'], ['131.652700', '190.973540', '141.225004', '205.212212', 'M']];103.568;189.304102;141.225004;207.387188;0;[103.568, 189.304102];[141.225004, 189.304102];[103.568, 207.387188];[141.225004, 207.387188]
[['155.362300', '189.304102', '162.458731', '207.387188', 'E']];155.3623;189.304102;162.458731;207.387188;1;[155.3623, 189.304102];[162.458731, 189.304102];[155.3623, 207.387188];[162.458731, 207.387188]
[['103.568000', '209.146602', '129.225394', '227.229688', '0.12'], ['131.652700', '210.816040', '141.225004', '225.054712', 'M']];103.568;209.146602;141.225004;227.229688;0;[103.568, 209.146602];[141.225004, 209.146602];[103.568, 227.229688];[141.225004, 227.229688]
[['155.362300', '209.146602', '162.458731', '227.229688', 'E']];155.3623;209.146602;162.458731;227.229688;1;[155.3623, 209.146602];[162.458731, 209.146602];[155.3623, 227.229688];[162.458731, 227.229688]
